representation_name,partition,silhouette_euclidean,knn_accuracy,centroid_separation,mean_class_radius,n_samples,n_dims
gcn:bbknn_kperbatch2_donors12,test,0.26513731163571874,0.8968013831856495,2.279731379340735,3.2236333438322933,18508,128
gcn:bbknn_kperbatch2_donors12,test,0.2688281376864137,0.8967473524962178,2.259724009792136,3.3383609092003357,18508,128
gcn:bbknn_kperbatch2_donors12,test,0.25504814869319314,0.8965852604279231,2.220500743316287,3.2522510883330598,18508,128
gcn:bbknn_kperbatch2_donors12,test,0.26968128698374993,0.895666738707586,2.290713844314239,3.2157023131777884,18508,128
gcn:bbknn_kperbatch2_donors12,test,0.26288529772765157,0.8946401556083856,2.2621736790665707,3.296456517474112,18508,128
gcn:mutual_knn_reference_standard_query_k20_unweighted,test,0.29756931767049966,0.8869677977090987,2.3541132472430717,5.119656645477441,18508,128
gcn:mutual_knn_reference_standard_query_k20_unweighted,test,0.2991963257716795,0.8864815215042144,2.3174994991673166,5.276902188823339,18508,128
gcn:mutual_knn_reference_standard_query_k20_unweighted,test,0.2879310927935614,0.8866436135725092,2.306738146029719,5.166434168001025,18508,128
gcn:mutual_knn_reference_standard_query_k20_unweighted,test,0.3033601537128116,0.8852928463367192,2.321774466415659,5.108502538880749,18508,128
gcn:mutual_knn_reference_standard_query_k20_unweighted,test,0.2923389337981722,0.8856710611627404,2.3242390817039116,5.234507770372226,18508,128
gcn:pca_knn_k20_unweighted,test,0.27480705248467935,0.8948022476766804,2.307547507299217,3.700913399946343,18508,128
gcn:pca_knn_k20_unweighted,test,0.2742525096461475,0.897125567322239,2.220265778568615,3.9642133173591003,18508,128
gcn:pca_knn_k20_unweighted,test,0.2604545268472631,0.8962610762913334,2.205853807697371,3.838386551487456,18508,128
gcn:pca_knn_k20_unweighted,test,0.27205265331108025,0.8948022476766804,2.254298832400546,3.7713571783369857,18508,128
gcn:pca_knn_k20_unweighted,test,0.2648576894068183,0.8963691376701967,2.214183696421087,3.960724177199174,18508,128
gcn:pca_knn_k24_unweighted,test,0.27446741191457885,0.8983682731791658,2.2860726651763073,3.7513309358914744,18508,128
gcn:pca_knn_k24_unweighted,test,0.276735444322185,0.897125567322239,2.2250199018861427,3.96503202176852,18508,128
gcn:pca_knn_k24_unweighted,test,0.2644008585787129,0.8960449535336071,2.2234277959780515,3.8130770504344214,18508,128
gcn:pca_knn_k24_unweighted,test,0.27080024981643414,0.8957207693970175,2.2418313859873704,3.832517936812277,18508,128
gcn:pca_knn_k24_unweighted,test,0.27130442643226055,0.895774800086449,2.281076097466484,3.818442203805894,18508,128
gcn:pca_knn_k50_unweighted,test,0.28564398125906365,0.8950724011238383,2.3356353459031567,3.6985347781247193,18508,128
gcn:pca_knn_k50_unweighted,test,0.2899586790022401,0.895774800086449,2.2933410337799023,3.8853290336692923,18508,128
gcn:pca_knn_k50_unweighted,test,0.2715403824411706,0.894315971471796,2.256730977085078,3.8228937638275755,18508,128
gcn:pca_knn_k50_unweighted,test,0.28437867261923455,0.8946401556083856,2.316073540681846,3.757569634098165,18508,128
gcn:pca_knn_k50_unweighted,test,0.28230068444317497,0.8964771990490599,2.2978455548349555,3.8706516554323365,18508,128
graphsage:bbknn_kperbatch2_donors12,test,0.21543125307766756,0.9099308407175275,1.851993532474009,5.180750965084411,18508,128
graphsage:bbknn_kperbatch2_donors12,test,0.24475156879206114,0.90933650313378,2.073473701571047,4.855566076931287,18508,128
graphsage:bbknn_kperbatch2_donors12,test,0.2308659530184563,0.90933650313378,2.001762121964854,4.95900023558858,18508,128
graphsage:bbknn_kperbatch2_donors12,test,0.26358072268082283,0.909066349686622,2.1217215220786434,4.583744614984913,18508,128
graphsage:bbknn_kperbatch2_donors12,test,0.2228900888785131,0.9108493624378647,1.898040843827623,5.050789114141166,18508,128
graphsage:mutual_knn_reference_standard_query_k20_unweighted,test,0.21815493112827455,0.9100929327858224,1.9622168232248713,5.053022213559003,18508,128
graphsage:mutual_knn_reference_standard_query_k20_unweighted,test,0.21381867600191004,0.9102009941646856,1.9670006039949846,5.098187115041185,18508,128
graphsage:mutual_knn_reference_standard_query_k20_unweighted,test,0.23654699838450652,0.909606656580938,2.08580184080632,4.871606569836131,18508,128
graphsage:mutual_knn_reference_standard_query_k20_unweighted,test,0.2189103719948952,0.9074454290036741,1.909263844682377,5.055895021696613,18508,128
graphsage:mutual_knn_reference_standard_query_k20_unweighted,test,0.21039443810803887,0.9092824724443483,1.8968640184614072,5.12412951487676,18508,128
graphsage:pca_knn_k20_unweighted,test,0.24712428286885182,0.9085800734817376,2.0605767472393386,4.718988766242119,18508,128
graphsage:pca_knn_k20_unweighted,test,0.22621569545176334,0.9098227793386644,1.9680157135379566,5.015238915605322,18508,128
graphsage:pca_knn_k20_unweighted,test,0.2577618198311613,0.9081478279662849,2.1517530539875978,4.657141603972293,18508,128
graphsage:pca_knn_k20_unweighted,test,0.26892519689112504,0.9092284417549168,2.1325403046500546,4.541655207282062,18508,128
graphsage:pca_knn_k20_unweighted,test,0.247047968429848,0.909606656580938,2.023862104790184,4.739168730183142,18508,128
graphsage:pca_knn_k24_unweighted,test,0.2226820720920287,0.909876810028096,1.9150193870449828,4.9924826417321375,18508,128
graphsage:pca_knn_k24_unweighted,test,0.23439734350312028,0.9096606872703695,2.0135695111480234,4.925650199574503,18508,128
graphsage:pca_knn_k24_unweighted,test,0.22556108179383932,0.9089582883077588,1.9402260162782121,5.011969100372379,18508,128
graphsage:pca_knn_k24_unweighted,test,0.27031299082981164,0.9087961962394641,2.1365903957999826,4.530970893086004,18508,128
graphsage:pca_knn_k24_unweighted,test,0.23074667651699768,0.9101469634752539,1.940164836500526,4.905660412596842,18508,128
graphsage:pca_knn_k50_unweighted,test,0.24138768838453345,0.908526042792306,2.010620057446844,4.798694851092785,18508,128
graphsage:pca_knn_k50_unweighted,test,0.23950016106972807,0.9094985952020748,2.031637775640601,4.880354645297383,18508,128
graphsage:pca_knn_k50_unweighted,test,0.237288826175954,0.9100929327858224,2.000011621142922,4.8948626789890275,18508,128
graphsage:pca_knn_k50_unweighted,test,0.23069987643060844,0.9096606872703695,1.889758833746846,4.942804804216679,18508,128
graphsage:pca_knn_k50_unweighted,test,0.22913084957390883,0.9103090555435487,1.9135689973206722,4.942803338865697,18508,128
mlp,test,0.27466458465567256,0.9113896693321807,2.8085956763649915,8.7216195208988,18508,128
mlp,test,0.311643887558722,0.9123081910525178,2.968862655911328,8.026274092545616,18508,128
mlp,test,0.28423106850546836,0.9133888048411498,2.921212506165426,8.481669943031356,18508,128
mlp,test,0.27466458465567256,0.9113896693321807,2.8085956763649915,8.7216195208988,18508,128
mlp,test,0.27906803285776327,0.910957423816728,2.798010279890233,8.613372895131642,18508,128
mlp,test,0.30411946517140603,0.912416252431381,2.9041307026726573,8.238338170561553,18508,128
raw_pca_input,test,0.14646390202863163,0.8866976442619408,1.9432195930096074,9.604988797283648,18508,50
