run_id,model_name,graph_name,seed,partition,n_samples,accuracy,ece,brier_score,mean_max_confidence,mean_entropy_nats,mean_margin,fraction_low_margin
gcn_bbknn_kperbatch2_donors12_seed101,gcn,bbknn_kperbatch2_donors12,101,test,18508,0.895666738707586,0.035200757671148365,0.15717451442949246,0.8604659810364376,0.4652361800657693,0.781096602546226,0.03430948778906419
gcn_bbknn_kperbatch2_donors12_seed17,gcn,bbknn_kperbatch2_donors12,17,test,18508,0.8954506159498595,0.03708290635753661,0.15801142949301714,0.8583677095923229,0.47452314535221096,0.7781418311542323,0.034687702615085365
gcn_bbknn_kperbatch2_donors12_seed42,gcn,bbknn_kperbatch2_donors12,42,test,18508,0.8949643397449751,0.03481996492330755,0.1574201871260587,0.8601443748216676,0.4661670640332386,0.7801543801438399,0.03344499675815863
gcn_bbknn_kperbatch2_donors12_seed7,gcn,bbknn_kperbatch2_donors12,7,test,18508,0.8955586773287227,0.03675684516817522,0.15774955192670426,0.8588018321605475,0.47215805620912304,0.7786716422804977,0.032904689863842665
gcn_bbknn_kperbatch2_donors12_seed73,gcn,bbknn_kperbatch2_donors12,73,test,18508,0.8953425545709963,0.03835167035843708,0.15893080943566615,0.8570116115313305,0.47892827698978363,0.7767202290772275,0.036146531229738495
gcn_mutual_knn_reference_standard_query_k20_unweighted_seed101,gcn,mutual_knn_reference_standard_query_k20_unweighted,101,test,18508,0.8851307542684245,0.061225748146510384,0.1833653307985353,0.9463565024149349,0.15134262360768588,0.9032759497150227,0.014696347525394424
gcn_mutual_knn_reference_standard_query_k20_unweighted_seed17,gcn,mutual_knn_reference_standard_query_k20_unweighted,17,test,18508,0.8843743246163821,0.06098607540459096,0.1843070718317507,0.9453080072644747,0.15501746873909658,0.9014049226416291,0.014318132699373244
gcn_mutual_knn_reference_standard_query_k20_unweighted_seed42,gcn,mutual_knn_reference_standard_query_k20_unweighted,42,test,18508,0.8846985087529717,0.061766762700256335,0.18282028441468162,0.946465271453228,0.1512829225331881,0.9034309518807567,0.014912470283120812
gcn_mutual_knn_reference_standard_query_k20_unweighted_seed7,gcn,mutual_knn_reference_standard_query_k20_unweighted,7,test,18508,0.8855629997838772,0.06125021883535514,0.18229930723856697,0.9468132186192324,0.15025852854900212,0.9038740935043561,0.01421007132051005
gcn_mutual_knn_reference_standard_query_k20_unweighted_seed73,gcn,mutual_knn_reference_standard_query_k20_unweighted,73,test,18508,0.8852388156472877,0.06071048319462127,0.18224387472490353,0.9459492988419089,0.15256143811355452,0.902452967064685,0.014966500972552409
gcn_pca_knn_k20_unweighted_seed101,gcn,pca_knn_k20_unweighted,101,test,18508,0.8938837259563432,0.03790744340926026,0.16004606503854385,0.8561623382815048,0.49549303421750757,0.7780154875362048,0.03495785606224335
gcn_pca_knn_k20_unweighted_seed17,gcn,pca_knn_k20_unweighted,17,test,18508,0.8957207693970175,0.03191407937383405,0.15680948434341863,0.8638271176843373,0.462678663006462,0.7864078056850838,0.03258050572725308
gcn_pca_knn_k20_unweighted_seed42,gcn,pca_knn_k20_unweighted,42,test,18508,0.894315971471796,0.03242957980883462,0.15746376509486193,0.8624725302523121,0.4680354981259249,0.7848117057753757,0.03344499675815863
gcn_pca_knn_k20_unweighted_seed7,gcn,pca_knn_k20_unweighted,7,test,18508,0.8935055111303221,0.03436907167220981,0.15870074980020676,0.8593132880155858,0.48284274197984056,0.7814049471982192,0.033661119515885025
gcn_pca_knn_k20_unweighted_seed73,gcn,pca_knn_k20_unweighted,73,test,18508,0.8957207693970175,0.02603475334614302,0.15479140921503248,0.8707567604561784,0.4340693886825373,0.7949341659990816,0.031337799870326345
gcn_pca_knn_k24_unweighted_seed101,gcn,pca_knn_k24_unweighted,101,test,18508,0.8961530149124702,0.03025492293442561,0.15523220661292686,0.8676594238972236,0.4462354262718851,0.791407017122167,0.03160795331748433
gcn_pca_knn_k24_unweighted_seed17,gcn,pca_knn_k24_unweighted,17,test,18508,0.897395720769397,0.03026489760007719,0.1546950830658811,0.8678551704667288,0.44631003510709966,0.7914281894427171,0.03052733952885239
gcn_pca_knn_k24_unweighted_seed42,gcn,pca_knn_k24_unweighted,42,test,18508,0.8942079100929328,0.03208372969625578,0.1567018620157702,0.8628867128455332,0.46692660956588355,0.7855546623434619,0.03274259779554787
gcn_pca_knn_k24_unweighted_seed7,gcn,pca_knn_k24_unweighted,7,test,18508,0.8959909228441755,0.025702600639699084,0.15414461156093107,0.8708065358842582,0.4329699703356564,0.7946756273762624,0.031337799870326345
gcn_pca_knn_k24_unweighted_seed73,gcn,pca_knn_k24_unweighted,73,test,18508,0.8939917873352063,0.04076328042911513,0.16028662100242685,0.8532285069060913,0.5110923367691088,0.7752194911474845,0.034417549167927386
gcn_pca_knn_k50_unweighted_seed101,gcn,pca_knn_k50_unweighted,101,test,18508,0.8964231683596283,0.026234752481458287,0.15460086243602614,0.87018841587817,0.4339361852118744,0.7941831740625482,0.030959585044305165
gcn_pca_knn_k50_unweighted_seed17,gcn,pca_knn_k50_unweighted,17,test,18508,0.8970175059433758,0.029512913989014688,0.15566335204473777,0.867561477729787,0.4469159140891954,0.7908971584109068,0.03090555435487357
gcn_pca_knn_k50_unweighted_seed42,gcn,pca_knn_k50_unweighted,42,test,18508,0.8967473524962178,0.02530874846040595,0.15414407304445085,0.8715925189542261,0.4283741406151064,0.7955448809324106,0.03014912470283121
gcn_pca_knn_k50_unweighted_seed7,gcn,pca_knn_k50_unweighted,7,test,18508,0.8963691376701967,0.02734941633400897,0.15545944450363283,0.8690197213361878,0.43972079871457126,0.7925578082667093,0.03122973849146315
gcn_pca_knn_k50_unweighted_seed73,gcn,pca_knn_k50_unweighted,73,test,18508,0.8964231683596283,0.025496859094584903,0.15469455069151003,0.8709263092650433,0.4324497786605593,0.795150984572107,0.03014912470283121
graphsage_bbknn_kperbatch2_donors12_seed101,graphsage,bbknn_kperbatch2_donors12,101,test,18508,0.9123081910525178,0.010203366218767234,0.13134471325161376,0.9085048874580489,0.2843066155015476,0.8445684877576551,0.024367840933650315
graphsage_bbknn_kperbatch2_donors12_seed17,graphsage,bbknn_kperbatch2_donors12,17,test,18508,0.9104711476118436,0.013899474111487271,0.13407136976388348,0.9003765097993779,0.3121951063630034,0.8322196976614276,0.025610546790577046
graphsage_bbknn_kperbatch2_donors12_seed42,graphsage,bbknn_kperbatch2_donors12,42,test,18508,0.9123081910525178,0.011606210615282268,0.13149550562152684,0.9047466219123674,0.29751302700943005,0.8386414162133625,0.025124270585692672
