model_name,graph_name,n_runs,n_seeds,epochs_trained_mean,best_epoch_mean,best_val_f1_mean,best_val_f1_std,final_train_loss,final_val_loss
gcn,bbknn_kperbatch2_donors12,5.0,5.0,497.6,458.0,0.8653327329251284,0.0009210134453481038,0.28462861180305477,0.35851811766624453
gcn,mutual_knn_reference_standard_query_k20_unweighted,5.0,5.0,500.0,486.0,0.8542920899023221,0.0006421495667334538,0.23937315642833706,0.5239473819732666
gcn,pca_knn_k20_unweighted,5.0,5.0,419.2,351.0,0.866110770669561,0.0009222159807757718,0.2473740845918655,0.35842483043670653
gcn,pca_knn_k24_unweighted,5.0,5.0,441.4,463.0,0.8660782381396128,0.0012105490114443281,0.24674441218376159,0.3562093496322632
gcn,pca_knn_k50_unweighted,5.0,5.0,500.0,458.0,0.8651175189909981,0.0003667974181012707,0.2467977792024612,0.3555978238582611
graphsage,bbknn_kperbatch2_donors12,5.0,5.0,428.8,489.0,0.8816322778319545,0.002505853752892954,0.202633798122406,0.3033487439155579
graphsage,mutual_knn_reference_standard_query_k20_unweighted,5.0,5.0,473.8,449.0,0.8814954601458199,0.0015744868529220665,0.1875677615404129,0.30991328954696656
graphsage,pca_knn_k20_unweighted,5.0,5.0,384.6,492.0,0.8791564782660511,0.0010802379892300871,0.2014188170433044,0.3148228108882904
graphsage,pca_knn_k24_unweighted,5.0,5.0,459.8,444.0,0.8806707015508491,0.00103567665152698,0.19341543018817897,0.30943456292152405
graphsage,pca_knn_k50_unweighted,5.0,5.0,486.8,492.0,0.8812893441820286,0.0007117741403962648,0.19066693186759948,0.3088378608226776
mlp,none,5.0,5.0,78.4,16.0,0.8908750237019826,0.0006134655207988363,0.14656502180600717,0.30274638036886853
