dataset_name,split_id,model_name,partition,metric_name,metric_value,donor_id,site,class_label
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,macro_f1,0.9131955257703689,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,weighted_f1,0.9206342369286823,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,balanced_accuracy,0.9096231117679482,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,overall_accuracy,0.9209138840070299,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,macro_precision,0.9171171256911418,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,macro_recall,0.9096231117679482,,,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,site_observed_macro_f1,0.9011400296376756,,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,site_global_macro_f1,0.9011400296376756,,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,site_observed_macro_f1,0.8840112545550255,,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,site_global_macro_f1,0.8840112545550255,,Newcastle,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_observed_macro_f1,0.984227156646323,C-8914,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_global_macro_f1,0.4100946486026346,C-8914,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_observed_macro_f1,0.8598020926815796,C-8930,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_global_macro_f1,0.8598020926815796,C-8930,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_observed_macro_f1,0.880912434370834,C-8937,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_global_macro_f1,0.880912434370834,C-8937,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_observed_macro_f1,0.8877884486086788,C-8941,Cambridge,
stephenson_2021_healthy_pbmc,site_stratified_seed42,logistic_regression,train,donor_global_macro_f1,0.8877884486086788,C-8941,Cambridge,
