cell_type,HN01,HN02,HN03,HN04,HN05,HN06,HN07,HN08,HN09,HN10,HN11,HN12,HN13,HN14,HN15,HN16,HN17,HN18,Total
B cell,90,80,57,232,250,241,91,123,201,222,117,1436,80,198,277,1819,2329,228,8071
"CD4-positive, alpha-beta T cell",1127,690,1030,945,1373,886,796,473,1458,1897,1866,2743,1329,1156,2212,2742,3195,2940,28858
"CD8-positive, alpha-beta T cell",927,138,745,698,468,1042,223,440,406,783,890,585,2843,1477,862,629,781,1216,15153
classical monocyte,696,823,1897,910,1291,856,1956,1263,983,1369,1098,1192,432,816,861,69,2962,2164,21638
dendritic cell,17,8,15,15,63,8,18,8,13,47,37,17,11,99,31,15,37,29,488
endothelial cell,324,0,0,0,413,806,1622,349,2688,463,1098,33,118,90,812,416,233,246,9711
fibroblast,1289,0,0,0,105,76,1496,210,1133,108,852,39,29,17,431,515,137,23,6460
macrophage,465,185,67,33,64,79,159,181,182,55,29,23,22,15,18,15,76,212,1880
malignant epithelial cell,3755,0,0,0,28,53,1400,960,181,214,184,2080,3797,1427,458,2201,1848,466,19052
mast cell,17,7,1,11,31,16,24,6,75,12,45,14,1,10,2,23,2,24,321
natural killer cell,892,473,3142,400,993,760,328,1045,560,924,979,187,1444,1982,656,528,957,367,16617
non-classical monocyte,103,76,70,198,273,129,230,223,207,212,196,234,50,99,142,79,495,542,3558
plasma cell,34,11,117,153,89,95,39,29,32,31,19,45,39,25,46,55,877,58,1794
regulatory T cell,242,32,576,100,158,141,85,78,201,227,242,152,143,219,189,184,63,248,3280
Total,9978,2523,7717,3695,5599,5188,8467,5388,8320,6564,7652,8780,10338,7630,6997,9290,13992,8763,136881
