cell_type,C-8914,C-8928,C-8930,C-8936,C-8937,C-8938,C-8939,C-8940,C-8941,C-8942,C-8943,C-8946,CV0902,CV0904,CV0911,CV0915,CV0917,CV0926,CV0929,CV0934,CV0939,CV0940,CV0944,Total
B cell,0,46,2,24,2,3,3,2,1,16,28,47,24,14,2,3,6,3,7,7,2,2,1,245
"CD14-low, CD16-positive monocyte",4,31,10,19,12,3,8,28,5,19,10,49,0,0,0,0,0,0,0,0,0,0,0,198
CD14-positive monocyte,413,1607,502,584,414,168,491,1266,315,651,423,2055,190,40,95,105,205,186,165,146,211,285,29,10546
"CD16-negative, CD56-bright natural killer cell, human",74,89,41,89,90,82,81,207,73,310,95,175,155,131,52,38,29,44,21,27,19,26,11,1959
"CD16-positive, CD56-dim natural killer cell, human",240,625,457,1317,549,335,708,1010,271,1111,576,1640,764,648,558,209,189,347,73,197,177,227,147,12375
"CD34-positive, CD38-negative hematopoietic stem cell",0,1,1,14,0,2,3,9,0,0,1,10,5,1,3,2,0,5,0,4,0,0,0,61
"CD4-positive, alpha-beta T cell",0,1,1,2,2,0,0,6,1,2,0,0,0,1,0,1,2,0,3,2,4,0,1,29
"CD8-positive, alpha-beta T cell",0,2,9,18,0,3,0,7,2,4,8,1,3,1,0,0,0,1,0,0,2,5,1,67
"ILC1, human",6,8,15,4,2,6,9,10,2,12,0,22,12,31,15,8,6,14,1,12,5,13,0,213
IgA plasma cell,2,11,0,10,2,2,3,4,0,8,12,24,8,7,3,8,2,2,3,3,1,3,3,121
IgG plasma cell,0,15,2,12,0,0,1,5,0,8,20,16,9,4,3,4,0,1,3,7,1,0,0,111
IgM plasma cell,0,5,1,2,0,0,3,7,1,5,9,15,2,0,1,0,0,0,2,0,0,1,0,54
T follicular helper cell,0,10,19,10,28,47,0,19,14,39,92,15,32,16,78,2,45,193,17,52,8,12,24,772
T-helper 1 cell,0,2,0,4,6,3,0,1,0,2,1,3,4,29,4,6,8,5,2,7,3,10,1,101
T-helper 17 cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
T-helper 2 cell,0,1,0,0,1,1,0,0,0,3,2,2,0,3,0,0,0,0,0,2,0,0,1,16
T-helper 22 cell,0,264,91,117,796,117,0,577,65,283,396,522,186,1461,124,61,515,183,92,199,55,176,18,6298
"central memory CD4-positive, alpha-beta T cell",0,49,74,141,201,71,0,291,23,86,474,261,455,1648,216,811,576,545,142,631,298,349,95,7437
class switched memory B cell,13,99,9,89,16,9,44,18,4,51,80,229,49,102,23,26,21,23,48,55,14,18,9,1049
dendritic cell,7,14,4,5,2,1,5,8,4,7,19,29,8,0,0,0,4,0,3,5,1,0,0,126
"dendritic cell, human",18,108,50,49,42,16,58,69,26,83,53,146,19,3,23,12,22,36,32,32,21,56,1,975
"effector CD8-positive, alpha-beta T cell",0,73,850,1234,176,239,0,941,452,232,500,190,195,80,3,7,38,11,13,57,124,704,26,6145
"effector memory CD4-positive, alpha-beta T cell",0,10,14,8,6,34,0,4,7,19,54,4,3,0,3,0,1,4,1,5,0,3,3,183
"effector memory CD8-positive, alpha-beta T cell",0,226,270,821,712,176,0,258,135,323,983,225,148,222,49,40,109,64,69,192,41,309,38,5410
erythrocyte,0,0,0,0,1,0,0,0,0,0,0,0,60,54,0,56,52,7,21,4,7,28,1,291
"erythroid progenitor cell, mammalian",1,0,1,5,6,0,8,16,1,0,0,12,0,1,1,1,1,7,3,2,0,0,1,67
gamma-delta T cell,0,440,194,246,198,443,0,126,59,292,381,1462,103,157,77,36,97,74,36,213,37,48,14,4733
"group 2 innate lymphoid cell, human",2,1,0,2,2,0,2,1,2,5,4,1,2,7,0,1,2,0,0,1,0,1,0,36
hematopoietic precursor cell,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,6
immature B cell,9,77,22,27,22,11,27,21,4,55,61,93,26,21,15,8,15,24,39,20,24,21,8,650
mature NK T cell,153,439,379,410,267,159,184,409,136,213,159,607,26,29,3,0,82,37,31,15,46,35,11,3830
monocyte,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
mucosal invariant T cell,0,117,126,231,318,293,0,187,43,409,173,439,157,261,34,67,89,26,27,180,35,134,15,3361
myeloid dendritic cell,33,111,66,71,53,34,65,75,28,77,112,202,19,1,6,8,10,26,12,9,5,27,2,1052
myeloid lineage restricted progenitor cell,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
naive B cell,109,614,136,341,82,42,196,119,32,199,587,836,281,220,97,117,109,105,200,192,100,105,68,4887
"naive thymus-derived CD4-positive, alpha-beta T cell",0,1037,564,409,1205,509,0,1418,381,1717,733,1562,231,638,125,192,390,520,155,526,401,179,60,12952
"naive thymus-derived CD8-positive, alpha-beta T cell",0,647,230,473,327,248,0,754,71,504,900,792,334,721,246,82,217,63,151,528,35,79,30,7432
