donor_id,cohort,cells_unperturbed,cells_primary_v0,donor_status
C-8946,Cambridge,12081,11964,retained
C-8940,Cambridge,8004,7941,retained
C-8943,Cambridge,7100,6975,retained
C-8928,Cambridge,7016,6959,retained
C-8936,Cambridge,6932,6847,retained
C-8942,Cambridge,6896,6838,retained
CV0904,Newcastle,6853,6725,retained
C-8937,Cambridge,5655,5622,retained
C-8930,Cambridge,4316,4285,retained
CV0902,Newcastle,3884,3785,retained
CV0934,Newcastle,3408,3361,retained
C-8938,Cambridge,3217,3172,retained
CV0940,Newcastle,2958,2900,retained
CV0917,Newcastle,2924,2847,retained
CV0926,Newcastle,2622,2581,retained
C-8941,Cambridge,2223,2208,retained
C-8939,Cambridge,2096,2072,retained
CV0911,Newcastle,1905,1884,retained
CV0915,Newcastle,1940,1859,retained
CV0939,Newcastle,1719,1696,retained
CV0929,Newcastle,1466,1425,retained
C-8914,Cambridge,1190,1184,retained
CV0944,Newcastle,634,619,retained
